email,domain,whois_alive,mx_exists
user1@gmail.com,gmail.com,1,1
test.account@yahoo.com,yahoo.com,1,1
info@outlook.com,outlook.com,1,1
contact@icloud.com,icloud.com,1,1
example.user@proton.me,proton.me,1,1
support@zoho.com,zoho.com,1,1
hello@duck.com,duck.com,1,1
sample@fastmail.com,fastmail.com,1,1
sample@yandex.ru,yandex.ru,1,1
user@nonexistdomain12345.com,nonexistdomain12345.com,0,0
test@myfakeunknownhost.xyz,myfakeunknownhost.xyz,0,0
contact@zzzz-no-such-domain.net,zzzz-no-such-domain.net,0,0
email@abcde-invalid-root.ioo,abcde-invalid-root.ioo,0,0
person@nodns-server-here-test.site,nodns-server-here-test.site,0,0
fake@domain-does-not-exist-2025.biz,domain-does-not-exist-2025.biz,0,0
user@expired-example-domain-test.com,expired-example-domain-test.com,0,0
admin@hold-example-domain.net,hold-example-domain.net,0,0
mail@redemption-example.org,redemption-example.org,0,0
contact@pendingdelete-demo-domain.xyz,pendingdelete-demo-domain.xyz,0,0
